1000 1 200
187.5 25 6.25 12.5
12.5 34.375 12.5 3.125
193.75 50 3.125 12.5
190.625 50 3.125 12.5
37.5 193.75 12.5 3.125
112.5 190.625 12.5 3.125
62.5 3.125 12.5 3.125
193.75 62.5 3.125 12.5
100 109.375 12.5 3.125
112.5 109.375 12.5 3.125
175 162.5 6.25 12.5
0 34.375 12.5 3.125
12.5 81.25 12.5 3.125
75 159.375 12.5 3.125
190.625 62.5 3.125 12.5
187.5 193.75 12.5 3.125
125 159.375 12.5 3.125
25 12.5 12.5 3.125
162.5 75 12.5 6.25
196.875 50 3.125 12.5
187.5 37.5 6.25 12.5
125 175 12.5 6.25
0 184.375 12.5 3.125
87.5 171.875 12.5 3.125
175 37.5 3.125 12.5
112.5 121.875 12.5 3.125
50 175 12.5 6.25
0 87.5 12.5 12.5
87.5 162.5 12.5 6.25
187.5 62.5 3.125 12.5
137.5 75 3.125 12.5
178.125 37.5 3.125 12.5
181.25 37.5 3.125 12.5
75 62.5 6.25 12.5
56.25 12.5 3.125 12.5
25 81.25 12.5 3.125
184.375 37.5 3.125 12.5
175 106.25 12.5 3.125
137.5 196.875 12.5 3.125
125 37.5 6.25 12.5
50 190.625 12.5 3.125
75 75 6.25 12.5
137.5 156.25 12.5 3.125
112.5 196.875 12.5 3.125
12.5 75 12.5 3.125
62.5 9.375 12.5 3.125
50 12.5 6.25 12.5
137.5 162.5 12.5 6.25
25 75 12.5 6.25
12.5 106.25 12.5 3.125
137.5 171.875 12.5 3.125
112.5 150 12.5 6.25
137.5 168.75 12.5 3.125
0 193.75 12.5 3.125
193.75 37.5 6.25 12.5
12.5 28.125 12.5 3.125
137.5 112.5 12.5 3.125
62.5 131.25 12.5 3.125
0 68.75 12.5 6.25
12.5 109.375 12.5 3.125
18.75 162.5 3.125 12.5
25 34.375 12.5 3.125
187.5 131.25 12.5 3.125
0 53.125 12.5 3.125
12.5 78.125 12.5 3.125
87.5 150 12.5 3.125
12.5 121.875 12.5 3.125
0 37.5 12.5 12.5
150 106.25 12.5 3.125
112.5 125 12.5 3.125
187.5 12.5 3.125 12.5
75 184.375 12.5 3.125
37.5 75 12.5 12.5
137.5 150 12.5 6.25
162.5 187.5 12.5 3.125
187.5 125 12.5 6.25
112.5 168.75 12.5 3.125
87.5 153.125 12.5 3.125
112.5 131.25 12.5 6.25
62.5 184.375 12.5 3.125
181.25 125 3.125 12.5
137.5 109.375 12.5 3.125
125 12.5 6.25 12.5
87.5 6.25 12.5 3.125
87.5 106.25 12.5 3.125
87.5 187.5 12.5 3.125
62.5 143.75 12.5 6.25
112.5 181.25 12.5 3.125
50 165.625 12.5 3.125
87.5 25 12.5 12.5
75 175 12.5 6.25
25 184.375 12.5 3.125
12.5 50 12.5 3.125
162.5 175 12.5 3.125
150 112.5 12.5 3.125
37.5 12.5 12.5 6.25
162.5 87.5 12.5 12.5
62.5 112.5 12.5 3.125
0 56.25 12.5 3.125
0 59.375 12.5 3.125
187.5 150 12.5 3.125
37.5 21.875 12.5 3.125
100 175 12.5 6.25
62.5 115.625 12.5 3.125
62.5 12.5 12.5 12.5
175 137.5 3.125 12.5
106.25 25 3.125 12.5
187.5 75 3.125 12.5
193.75 137.5 3.125 12.5
125 193.75 12.5 3.125
12.5 190.625 12.5 3.125
25 121.875 12.5 3.125
37.5 137.5 12.5 3.125
100 37.5 12.5 12.5
25 87.5 12.5 12.5
37.5 25 12.5 6.25
84.375 75 3.125 12.5
100 25 6.25 12.5
181.25 137.5 3.125 12.5
100 100 12.5 3.125
162.5 159.375 12.5 3.125
187.5 137.5 6.25 12.5
175 187.5 12.5 3.125
87.5 143.75 12.5 6.25
100 12.5 3.125 12.5
87.5 100 12.5 3.125
187.5 109.375 12.5 3.125
87.5 137.5 12.5 6.25
0 112.5 12.5 3.125
165.625 0 3.125 12.5
162.5 0 3.125 12.5
184.375 50 3.125 12.5
25 62.5 12.5 12.5
75 25 12.5 12.5
162.5 118.75 12.5 3.125
75 193.75 12.5 3.125
