1000 1 200
150 28.125 12.5 3.125
87.5 68.75 12.5 3.125
87.5 71.875 12.5 3.125
87.5 0 3.125 12.5
90.625 0 3.125 12.5
75 131.25 12.5 3.125
75 150 12.5 12.5
162.5 75 6.25 12.5
100 68.75 12.5 3.125
75 0 3.125 12.5
162.5 53.125 12.5 3.125
37.5 134.375 12.5 3.125
131.25 162.5 3.125 12.5
100 43.75 12.5 3.125
62.5 93.75 12.5 3.125
12.5 175 12.5 3.125
125 75 12.5 12.5
75 112.5 12.5 3.125
131.25 175 3.125 12.5
25 75 12.5 12.5
75 193.75 12.5 3.125
175 156.25 12.5 3.125
134.375 162.5 3.125 12.5
106.25 175 3.125 12.5
0 3.125 12.5 3.125
175 168.75 12.5 6.25
0 0 12.5 3.125
50 93.75 12.5 3.125
100 46.875 12.5 3.125
131.25 0 3.125 12.5
162.5 187.5 12.5 12.5
118.75 100 6.25 12.5
187.5 175 12.5 12.5
62.5 187.5 12.5 12.5
62.5 112.5 12.5 3.125
168.75 100 6.25 12.5
112.5 25 12.5 3.125
25 137.5 12.5 12.5
0 28.125 12.5 3.125
0 25 12.5 3.125
118.75 112.5 3.125 12.5
187.5 71.875 12.5 3.125
112.5 34.375 12.5 3.125
175 37.5 12.5 12.5
125 0 6.25 12.5
112.5 31.25 12.5 3.125
162.5 37.5 12.5 6.25
75 121.875 12.5 3.125
87.5 75 3.125 12.5
150 75 6.25 12.5
0 31.25 12.5 3.125
193.75 137.5 6.25 12.5
168.75 137.5 6.25 12.5
162.5 184.375 12.5 3.125
0 40.625 12.5 3.125
0 37.5 12.5 3.125
62.5 134.375 12.5 3.125
0 34.375 12.5 3.125
112.5 187.5 6.25 12.5
96.875 75 3.125 12.5
175 187.5 12.5 12.5
162.5 156.25 12.5 3.125
93.75 75 3.125 12.5
90.625 75 3.125 12.5
12.5 181.25 12.5 3.125
187.5 31.25 12.5 6.25
78.125 75 3.125 12.5
75 75 3.125 12.5
137.5 18.75 12.5 3.125
93.75 87.5 3.125 12.5
12.5 34.375 12.5 3.125
12.5 37.5 12.5 3.125
81.25 12.5 3.125 12.5
87.5 100 12.5 3.125
